"",-33.000,-32.500,-32.000,-31.500,-31.000,-30.500,-30.000,-29.500,-29.000,-28.500,-28.000,-27.500,-27.000,-26.500,-26.000,-25.500,-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
150.0000,NaN,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.7000E+001,-2.6500E+001,-2.6000E+001,-2.5500E+001,-2.5000E+001,-2.4500E+001,-2.4000E+001,-2.3500E+001,-2.3000E+001,-2.2500E+001,-2.2000E+001,-2.1500E+001,-2.1000E+001,-2.0500E+001,-2.0000E+001,-1.9500E+001,-1.9000E+001,-1.8500E+001,-1.8000E+001,-1.7500E+001,-1.7000E+001,-1.6500E+001,-1.6000E+001,-1.5500E+001,-1.5000E+001,-1.4500E+001,-1.4000E+001,-1.3500E+001,-1.3000E+001,-1.2500E+001,-1.2000E+001,-1.1500E+001,-1.1000E+001,-1.0500E+001,-1.0000E+001,-9.5000E+000,-9.0000E+000,-8.5000E+000,-8.0000E+000,-7.5000E+000,-7.0000E+000,-6.5000E+000,-6.0000E+000,-5.5000E+000,-5.0000E+000,-4.5000E+000,-4.0000E+000,-3.5000E+000,-3.0000E+000,-2.3333E+000,-1.6667E+000,-1.0000E+000
151.0000,NaN,1.0271E-010,1.9336E-011,1.6401E-011,1.5165E-011,1.1119E-011,1.0165E-011,9.5875E-012,9.9142E-012,1.3336E-011,4.2879E-011,1.4201E-010,3.2402E-010,5.7756E-010,9.5535E-010,1.4010E-009,1.6995E-009,1.7484E-009,1.5642E-009,1.2442E-009,1.0366E-009,1.2719E-009,2.0856E-009,3.6636E-009,5.1442E-009,6.3446E-009,7.3824E-009,8.3513E-009,8.9868E-009,8.9931E-009,8.4019E-009,7.4363E-009,6.6052E-009,6.1465E-009,5.6353E-009,4.7393E-009,3.8373E-009,3.5312E-009,4.0112E-009,5.4303E-009,6.7929E-009,7.4573E-009,7.6239E-009,7.5081E-009,7.1932E-009,6.9222E-009,6.4273E-009,5.5304E-009,4.6016E-009,4.0600E-009,4.1467E-009,5.6151E-009,7.1128E-009,7.5793E-009,9.0681E-009,1.5660E-008,2.2826E-008,2.5497E-008,2.4991E-008,1.6160E-008,7.1480E-009,1.3567E-008,7.7154E-008,1.3387E-007,2.2016E-007,7.6786E-007,8.3371E-007
152.0000,NaN,3.1495E-010,1.2772E-010,2.1662E-010,3.5311E-010,2.2118E-010,2.2017E-010,3.0516E-010,4.3565E-010,5.8250E-010,7.3129E-010,9.8548E-010,1.2324E-009,1.3630E-009,1.5606E-009,1.8069E-009,2.0053E-009,2.2523E-009,2.5819E-009,3.0120E-009,3.5671E-009,4.2767E-009,5.0712E-009,5.9865E-009,6.8130E-009,7.5102E-009,8.0683E-009,8.5242E-009,8.8099E-009,8.9399E-009,8.8623E-009,8.6415E-009,8.2454E-009,7.7298E-009,7.0591E-009,6.5244E-009,6.2722E-009,6.3038E-009,6.6596E-009,7.2128E-009,7.8210E-009,8.3435E-009,8.6811E-009,8.6928E-009,8.4910E-009,8.0780E-009,7.5033E-009,6.9393E-009,6.5010E-009,6.3522E-009,6.6825E-009,7.6403E-009,9.1412E-009,1.1288E-008,1.4701E-008,1.9831E-008,2.5401E-008,2.8699E-008,2.8775E-008,2.7043E-008,3.0996E-008,5.2156E-008,7.9065E-008,1.1963E-007,2.2356E-007,1.7223E-007,3.1192E-007
153.0000,NaN,2.3518E-009,9.6112E-010,1.2135E-009,1.7360E-009,1.0374E-009,9.7339E-010,1.2170E-009,1.6249E-009,2.0172E-009,2.3549E-009,2.9617E-009,3.5081E-009,3.7006E-009,4.0907E-009,4.6386E-009,5.0722E-009,5.6843E-009,6.3515E-009,7.1314E-009,7.9861E-009,8.9361E-009,9.8046E-009,1.0754E-008,1.1437E-008,1.1936E-008,1.2313E-008,1.2682E-008,1.2973E-008,1.3236E-008,1.3387E-008,1.3492E-008,1.3420E-008,1.3177E-008,1.2597E-008,1.2166E-008,1.2055E-008,1.2129E-008,1.2466E-008,1.2843E-008,1.3257E-008,1.3634E-008,1.3910E-008,1.3862E-008,1.3664E-008,1.3272E-008,1.2759E-008,1.2393E-008,1.2281E-008,1.2561E-008,1.3458E-008,1.5219E-008,1.8030E-008,2.2107E-008,2.7610E-008,3.4278E-008,4.1117E-008,4.7110E-008,5.2617E-008,6.0091E-008,7.3151E-008,1.7919E-007,1.6199E-007,1.1966E-007,1.6488E-007,2.8779E-007,4.5964E-007
154.0000,NaN,1.3467E-008,5.5002E-009,6.3787E-009,9.1428E-009,5.3976E-009,4.7956E-009,5.3404E-009,7.1012E-009,8.8046E-009,9.9428E-009,1.1995E-008,1.2854E-008,1.3607E-008,1.4403E-008,1.5407E-008,1.5802E-008,1.6051E-008,1.7357E-008,1.7883E-008,1.8676E-008,1.9419E-008,2.0695E-008,2.1140E-008,2.2255E-008,2.2691E-008,2.2879E-008,2.2877E-008,2.3318E-008,2.4004E-008,2.4711E-008,2.5552E-008,2.6225E-008,2.6631E-008,2.6262E-008,2.6048E-008,2.6254E-008,2.6487E-008,2.6962E-008,2.7215E-008,2.7463E-008,2.7707E-008,2.7981E-008,2.7944E-008,2.8000E-008,2.8027E-008,2.8099E-008,2.8700E-008,2.9928E-008,3.1918E-008,3.5016E-008,3.9497E-008,4.5621E-008,5.3734E-008,6.4228E-008,7.7344E-008,9.3603E-008,1.1572E-007,1.5468E-007,2.1515E-007,2.2854E-007,1.9835E-007,2.7072E-007,1.7532E-007,2.2800E-007,3.9442E-007,6.3052E-007
155.0000,NaN,1.4534E-008,5.9502E-009,6.9741E-009,9.7318E-009,5.5348E-009,4.9898E-009,5.6190E-009,7.4247E-009,9.0677E-009,1.0573E-008,1.1820E-008,1.2369E-008,1.2732E-008,1.3273E-008,1.3696E-008,1.4058E-008,1.4305E-008,1.5019E-008,1.5099E-008,1.5432E-008,1.5730E-008,1.6490E-008,1.6534E-008,1.7382E-008,1.7644E-008,1.7718E-008,1.7639E-008,1.7901E-008,1.8159E-008,1.8785E-008,1.9491E-008,2.0232E-008,2.0790E-008,2.1316E-008,2.1000E-008,2.1224E-008,2.1614E-008,2.2159E-008,2.2544E-008,2.2927E-008,2.3361E-008,2.3897E-008,2.4297E-008,2.4853E-008,2.5497E-008,2.6248E-008,2.7500E-008,2.9344E-008,3.1842E-008,3.5233E-008,3.9661E-008,4.5222E-008,5.2038E-008,6.0096E-008,6.8936E-008,7.7804E-008,8.4984E-008,8.5813E-008,7.2828E-008,6.3899E-008,8.2287E-008,1.1468E-007,7.2574E-008,1.0011E-007,1.8147E-007,2.9847E-007
156.0000,NaN,7.1917E-009,2.9529E-009,3.6622E-009,4.8747E-009,2.7004E-009,2.5628E-009,3.1873E-009,4.3025E-009,5.2423E-009,5.7587E-009,6.7521E-009,7.0801E-009,7.2026E-009,7.3213E-009,7.6303E-009,7.6487E-009,7.6442E-009,8.0397E-009,8.1237E-009,8.3362E-009,8.5240E-009,8.8966E-009,8.9552E-009,9.3137E-009,9.4060E-009,9.4480E-009,9.4620E-009,9.6435E-009,9.8662E-009,1.0232E-008,1.0687E-008,1.1120E-008,1.1470E-008,1.1668E-008,1.1618E-008,1.1880E-008,1.2168E-008,1.2553E-008,1.2870E-008,1.3198E-008,1.3572E-008,1.4019E-008,1.4407E-008,1.4889E-008,1.5430E-008,1.6031E-008,1.6911E-008,1.8126E-008,1.9686E-008,2.1687E-008,2.4162E-008,2.7063E-008,3.0365E-008,3.3967E-008,3.7516E-008,4.0551E-008,4.2470E-008,4.2250E-008,3.8756E-008,3.2215E-008,3.4379E-008,6.9260E-008,1.2758E-007,2.4625E-007,1.7671E-007,2.7964E-007
157.0000,NaN,1.2048E-008,4.8901E-009,5.8931E-009,8.0045E-009,4.6315E-009,4.2755E-009,5.1750E-009,6.7366E-009,7.9487E-009,8.6962E-009,1.0188E-008,1.1178E-008,1.0858E-008,1.1039E-008,1.1522E-008,1.1513E-008,1.1458E-008,1.2038E-008,1.2140E-008,1.2509E-008,1.3029E-008,1.3372E-008,1.3851E-008,1.4031E-008,1.4113E-008,1.4204E-008,1.4456E-008,1.4801E-008,1.5317E-008,1.5913E-008,1.6666E-008,1.7376E-008,1.7971E-008,1.8074E-008,1.8303E-008,1.8826E-008,1.9365E-008,2.0100E-008,2.0702E-008,2.1362E-008,2.2101E-008,2.2980E-008,2.3731E-008,2.4674E-008,2.5678E-008,2.6753E-008,2.8298E-008,3.0334E-008,3.2855E-008,3.6008E-008,3.9747E-008,4.3979E-008,4.8627E-008,5.3516E-008,5.8228E-008,6.2542E-008,6.7531E-008,8.0270E-008,1.3696E-007,2.6225E-007,1.8504E-007,3.4818E-007,2.1230E-007,2.7717E-007,4.8182E-007,7.8608E-007
158.0000,NaN,1.3067E-008,5.3493E-009,6.2744E-009,8.7281E-009,4.9390E-009,4.4526E-009,5.0090E-009,6.6021E-009,8.0314E-009,9.3157E-009,1.0349E-008,1.0759E-008,1.1001E-008,1.1391E-008,1.1681E-008,1.1914E-008,1.2127E-008,1.2665E-008,1.2674E-008,1.2903E-008,1.3114E-008,1.3729E-008,1.3756E-008,1.4485E-008,1.4745E-008,1.4860E-008,1.4860E-008,1.5170E-008,1.5498E-008,1.6171E-008,1.6975E-008,1.7820E-008,1.8551E-008,1.9257E-008,1.9292E-008,1.9894E-008,2.0642E-008,2.1585E-008,2.2429E-008,2.3318E-008,2.4298E-008,2.5413E-008,2.6395E-008,2.7527E-008,2.8704E-008,2.9910E-008,3.1558E-008,3.3685E-008,3.6250E-008,3.9397E-008,4.3083E-008,4.7273E-008,5.2044E-008,5.7472E-008,6.3384E-008,6.9336E-008,7.4080E-008,7.4348E-008,6.4709E-008,6.0584E-008,6.3178E-008,8.2981E-008,6.7313E-008,9.4111E-008,1.6702E-007,2.7110E-007
